pno1,pno2,rank1,rank2
8684386,6912564,4,13
8395524,6983013,10,5
4555695,5091725,2,2
4620631,8285181,3,3
4256645,5074141,8,12
8621383,7262153,3,6
7112098,4141493,9,9
7641763,3977936,10,2
7641763,3977936,3,10
5295627,7367895,6,8
8023977,8741676,11,9
4416120,6145149,12,1
4341574,6147881,11,6
8427558,7236117,6,11
8427558,7236117,13,12
7374004,5623247,4,8
4904517,8191780,6,8
5267477,6530806,6,5
6161026,3958172,11,8
4009851,5547218,10,2
4009851,5547218,13,12
4260126,4340092,2,6
4260126,4340092,6,11
8011374,5424352,7,4
4345352,7730628,10,2
4956038,8352162,10,10
5259595,6430838,7,7
6375661,4697725,13,12
5551779,8546513,5,12
8167552,4299250,13,2
4756502,5256144,13,2
8483233,7483990,2,6
7226712,8147348,10,7
7346650,8356094,2,13
7766403,8147327,10,4
7292968,3952206,4,3
6602166,7960286,5,12
7317151,7663852,5,5
8082237,8332686,9,4
4959631,7703419,7,8
7187401,7681707,3,12
7725289,3940764,13,6
8556489,8240512,2,4
7106947,7996866,13,2
7106947,7996866,9,6
7106947,7996866,11,8
6893529,8564419,12,7
5105632,4679589,4,5
8205253,7880783,7,6
7708164,4838856,4,4
7708164,4838856,3,12
5209786,6794388,11,5
7894911,4368373,4,7
4763035,4166320,11,4
6434853,6444165,10,5
4183431,5176222,10,4
8146755,6575286,13,5
7442397,5387009,7,6
8185884,4089627,12,3
4209683,4437339,5,10
8376682,7683906,5,1
8376682,7683906,9,4
4677873,5088741,13,12
8385010,7055958,4,2
5448375,8580249,7,10
8231228,8500021,5,6
7203393,7218882,9,5
5316954,4997643,8,6
4769627,4104698,11,8
7533452,7565451,4,3
7001639,4904866,2,11
7780295,6087635,1,5
8540177,7637083,4,10
8459965,6593781,10,12
7158065,6518916,13,8
7158065,6518916,7,10
7251281,6904081,7,9
5407239,3977719,8,5
4913057,6420257,10,13
7772139,4180890,3,7
4605092,7243962,5,8
7470060,4611191,4,3
4522551,6313958,9,6
6369917,7554423,6,12
6538501,7064955,10,8
7949844,8054495,4,10
5575190,8728627,2,3
5575190,8728627,12,9
6377011,8379344,12,8
5122992,5262839,10,2
4384409,6608521,9,11
4384409,6608521,1,12
4168581,5592372,10,4
4168581,5592372,13,8
4109325,7540330,3,4
5559396,5604211,10,9
6286893,7871858,10,10
6286893,7871858,11,12
7444083,7069628,13,4
6541595,4418474,8,5
