parent_pno,child_pno,parent_term_rank,child_term_rank,slope CTR-CTR
5272639,6493631,9,6,3
5316305,8007369,4,2,2
6147090,7094801,12,6,6
5654099,6669591,1,3,-2
5654099,6669591,4,8,-4
5654099,6669591,5,2,3
7787863,8265600,2,9,-7
7787863,8265600,5,5,0
7787863,8265600,7,12,-5
6363348,8396710,1,10,-9
6363348,8396710,4,4,0
6363348,8396710,9,2,7
5570300,6611775,1,8,-7
6381631,7657599,1,13,-12
6381631,7657599,11,7,4
3952750,5549642,7,11,-4
3952750,5549642,9,1,8
4105785,7642263,13,7,6
6206397,7048292,1,5,-4
6206397,7048292,3,3,0
6206397,7048292,4,2,2
6206397,7048292,6,10,-4
6206397,7048292,7,1,6
6206397,7048292,8,4,4
5206036,7350389,4,4,0
5206036,7350389,13,2,11
4605993,4819139,4,4,0
4605993,4819139,8,2,6
3947316,8020342,11,12,-1
7525640,8325322,1,2,-1
7525640,8325322,12,10,2
4156278,4307445,1,9,-8
4156278,4307445,6,6,0
4156278,4307445,9,2,7
4156278,4307445,10,4,6
4156278,4307445,12,10,2
4893335,7088801,8,3,5
4454138,6420374,2,1,1
4454138,6420374,5,11,-6
4454138,6420374,7,13,-6
6636590,8402139,1,6,-5
6636590,8402139,12,7,5
4687326,8233156,13,10,3
5147565,7404440,1,3,-2
5147565,7404440,10,1,9
5190541,7967816,11,5,6
4732146,8592640,1,10,-9
5122264,7296689,1,13,-12
5122264,7296689,2,1,1
5122264,7296689,13,5,8
6315864,7303650,1,1,0
6315864,7303650,3,4,-1
6315864,7303650,4,12,-8
5549935,6576569,2,2,0
4853754,6346770,4,2,2
4853754,6346770,9,10,-1
5027531,5349763,1,1,0
5027531,5349763,2,4,-2
5027531,5349763,7,6,1
5051906,6296317,5,9,-4
5282341,6497075,7,2,5
5282341,6497075,12,4,8
4122507,4301330,1,13,-12
4122507,4301330,3,1,2
4122507,4301330,6,5,1
6303258,7824834,1,1,0
7170849,8107552,2,1,1
7170849,8107552,11,7,4
6554398,7083272,2,12,-10
7308646,8190596,4,5,-1
7308646,8190596,5,3,2
7308646,8190596,10,8,2
5145145,6457697,1,4,-3
5145145,6457697,2,1,1
5145145,6457697,7,3,4
5329802,7191685,2,1,1
6377944,7707254,3,8,-5
5528542,7609538,5,2,3
5528542,7609538,7,1,6
5645081,8147468,1,6,-5
5108404,7520888,11,1,10
4058173,7676963,3,3,0
4058173,7676963,10,1,9
4058173,7676963,12,2,10
5404020,8104863,9,5,4
6394615,8100542,1,6,-5
6394615,8100542,2,3,-1
6394615,8100542,11,7,4
4960145,6536551,5,4,1
4960145,6536551,8,8,0
6565513,8684935,5,7,-2
4926044,5081351,7,2,5
4926044,5081351,9,1,8
4926044,5081351,11,3,8
5132674,8022969,11,6,5
6542927,7131596,7,5,2
6478799,7749229,1,11,-10
6478799,7749229,2,1,1
6478799,7749229,3,7,-4
6478799,7749229,7,10,-3
6478799,7749229,12,3,9
4243743,5310862,1,2,-1
4243743,5310862,4,11,-7
4243743,5310862,13,3,10
5217186,7998030,6,1,5
4143496,8099919,2,6,-4
5345925,5562601,4,12,-8
5015248,6866665,1,5,-4
5015248,6866665,7,6,1
8125055,8629061,5,9,-4
6138271,7032213,1,3,-2
6138271,7032213,4,12,-8
6138271,7032213,11,10,1
7128151,8082993,1,1,0
7128151,8082993,6,2,4
6588944,6982529,2,5,-3
7116640,7457273,3,11,-8
7116640,7457273,6,7,-1
7222171,8086577,1,5,-4
7222171,8086577,10,13,-3
6563042,7724542,11,1,10
4204619,4960234,4,7,-3
4204619,4960234,7,1,6
6960328,8556987,1,1,0
4661178,5074933,1,1,0
4661178,5074933,3,4,-1
4661178,5074933,4,2,2
4661178,5074933,9,11,-2
6909070,8443721,2,3,-1
6909070,8443721,3,6,-3
6909070,8443721,6,1,5
6909070,8443721,12,5,7
4289728,8124132,13,8,5
7167776,8261738,10,1,9
4554558,6288477,1,10,-9
5651174,7947071,1,2,-1
5651174,7947071,6,5,1
5651174,7947071,10,3,7
4449193,4695972,2,1,1
4449193,4695972,8,6,2
4449193,4695972,12,2,10
4463759,7156842,2,1,1
6944150,7941143,8,7,1
6944150,7941143,11,8,3
6283961,7384420,7,5,2
6079132,8356432,1,4,-3
6079132,8356432,4,8,-4
6079132,8356432,6,6,0
4543704,5374135,5,11,-6
4543704,5374135,6,8,-2
4543704,5374135,10,3,7
4543704,5374135,11,1,10
4557517,6598327,9,8,1
4666550,8475611,1,1,0
4953085,7392222,1,9,-8
4953085,7392222,11,8,3
5002359,5253318,2,3,-1
5002359,5253318,5,5,0
5002359,5253318,6,6,0
5002359,5253318,8,4,4
5019699,8636224,3,1,2
5374068,6250640,1,4,-3
7203796,8015194,4,4,0
7203796,8015194,8,2,6
6917724,8429205,8,3,5
6917724,8429205,9,12,-3
6917724,8429205,13,10,3
6489428,8349264,3,1,2
6489428,8349264,5,7,-2
7221327,7714678,1,1,0
7221327,7714678,2,2,0
6076174,8713179,3,2,1
6076174,8713179,4,13,-9
5500645,7564391,1,3,-2
5500645,7564391,3,11,-8
5500645,7564391,9,7,2
5500645,7564391,11,9,2
5500645,7564391,12,2,10
6092183,6205555,1,10,-9
6092183,6205555,3,8,-5
6092183,6205555,13,13,0
5278320,8110564,2,11,-9
5263367,8282623,5,12,-7
5168378,8121787,4,3,1
5227184,6066348,1,3,-2
5227184,6066348,8,12,-4
6895805,8268392,1,1,0
4108303,4372441,1,5,-4
4108303,4372441,3,7,-4
4351580,5322446,2,13,-11
4351580,5322446,5,2,3
4967961,7748646,3,4,-1
7219141,7872423,5,8,-3
4805624,7879213,3,1,2
4805624,7879213,11,11,0
6397235,8396916,6,8,-2
6397235,8396916,11,3,8
5220507,7881863,1,2,-1
5220507,7881863,2,5,-3
5220507,7881863,3,4,-1
4705445,5346051,4,6,-2
4293148,8678446,2,3,-1
4293148,8678446,10,2,8
5308949,5591356,1,1,0
5308949,5591356,3,4,-1
5308949,5591356,6,6,0
3965036,4186085,5,2,3
3965036,4186085,9,12,-3
6534717,7411129,2,5,-3
6534717,7411129,3,7,-4
6534717,7411129,6,6,0
5628931,6946493,3,3,0
5563717,6664034,4,5,-1
